********************************************************************************
This is automation Script This file is created at:Fri Jun 20 13:06:53 2025
********************************************************************************
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System'}
{'pid': 8, 'username': None, 'name': 'svchost.exe'}
{'pid': 172, 'username': None, 'name': ''}
{'pid': 220, 'username': None, 'name': 'Registry'}
{'pid': 336, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'SystemSettingsBroker.exe'}
{'pid': 744, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'ShellExperienceHost.exe'}
{'pid': 812, 'username': None, 'name': 'smss.exe'}
{'pid': 868, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedge.exe'}
{'pid': 1152, 'username': None, 'name': 'svchost.exe'}
{'pid': 1240, 'username': None, 'name': 'csrss.exe'}
{'pid': 1332, 'username': None, 'name': 'wininit.exe'}
{'pid': 1400, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'WidgetService.exe'}
{'pid': 1472, 'username': None, 'name': 'services.exe'}
{'pid': 1484, 'username': None, 'name': 'LsaIso.exe'}
{'pid': 1512, 'username': None, 'name': 'lsass.exe'}
{'pid': 1524, 'username': None, 'name': 'IntelCpHDCPSvc.exe'}
{'pid': 1532, 'username': None, 'name': 'svchost.exe'}
{'pid': 1636, 'username': None, 'name': 'svchost.exe'}
{'pid': 1656, 'username': None, 'name': 'svchost.exe'}
{'pid': 1664, 'username': None, 'name': 'fontdrvhost.exe'}
{'pid': 1700, 'username': None, 'name': 'WUDFHost.exe'}
{'pid': 1808, 'username': None, 'name': 'svchost.exe'}
{'pid': 1856, 'username': None, 'name': 'svchost.exe'}
{'pid': 1936, 'username': None, 'name': 'svchost.exe'}
{'pid': 1944, 'username': None, 'name': 'svchost.exe'}
{'pid': 1956, 'username': None, 'name': 'svchost.exe'}
{'pid': 2020, 'username': None, 'name': 'svchost.exe'}
{'pid': 2076, 'username': None, 'name': 'svchost.exe'}
{'pid': 2164, 'username': None, 'name': 'svchost.exe'}
{'pid': 2216, 'username': None, 'name': 'MemCompression'}
{'pid': 2340, 'username': None, 'name': 'svchost.exe'}
{'pid': 2376, 'username': None, 'name': 'svchost.exe'}
{'pid': 2508, 'username': None, 'name': 'svchost.exe'}
{'pid': 2556, 'username': None, 'name': 'svchost.exe'}
{'pid': 2712, 'username': None, 'name': 'svchost.exe'}
{'pid': 2788, 'username': None, 'name': 'svchost.exe'}
{'pid': 2796, 'username': None, 'name': 'svchost.exe'}
{'pid': 2804, 'username': None, 'name': 'svchost.exe'}
{'pid': 2812, 'username': None, 'name': 'svchost.exe'}
{'pid': 2940, 'username': None, 'name': 'svchost.exe'}
{'pid': 2956, 'username': None, 'name': 'svchost.exe'}
{'pid': 3068, 'username': None, 'name': 'spoolsv.exe'}
{'pid': 3112, 'username': None, 'name': 'svchost.exe'}
{'pid': 3140, 'username': None, 'name': 'svchost.exe'}
{'pid': 3152, 'username': None, 'name': 'svchost.exe'}
{'pid': 3172, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'StartMenuExperienceHost.exe'}
{'pid': 3200, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'WebViewHost.exe'}
{'pid': 3336, 'username': None, 'name': 'svchost.exe'}
{'pid': 3352, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'CalculatorApp.exe'}
{'pid': 3392, 'username': None, 'name': 'svchost.exe'}
{'pid': 3444, 'username': None, 'name': 'svchost.exe'}
{'pid': 3492, 'username': None, 'name': 'WUDFHost.exe'}
{'pid': 3552, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'SecurityHealthSystray.exe'}
{'pid': 3576, 'username': None, 'name': 'svchost.exe'}
{'pid': 3608, 'username': None, 'name': 'svchost.exe'}
{'pid': 3740, 'username': None, 'name': 'svchost.exe'}
{'pid': 3776, 'username': None, 'name': 'svchost.exe'}
{'pid': 3852, 'username': None, 'name': 'WUDFHost.exe'}
{'pid': 3864, 'username': None, 'name': 'svchost.exe'}
{'pid': 3928, 'username': None, 'name': 'AsusOptimization.exe'}
{'pid': 3936, 'username': None, 'name': 'svchost.exe'}
{'pid': 4024, 'username': None, 'name': 'svchost.exe'}
{'pid': 4124, 'username': None, 'name': 'svchost.exe'}
{'pid': 4212, 'username': None, 'name': 'svchost.exe'}
{'pid': 4316, 'username': None, 'name': 'svchost.exe'}
{'pid': 4376, 'username': None, 'name': 'wlanext.exe'}
{'pid': 4396, 'username': None, 'name': 'conhost.exe'}
{'pid': 4536, 'username': None, 'name': 'svchost.exe'}
