********************************************************************************
This is automation Script This file is created at:Fri Jun 20 13:29:08 2025
********************************************************************************
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 8, 'name': 'svchost.exe', 'username': None}
{'pid': 172, 'name': '', 'username': None}
{'pid': 220, 'name': 'Registry', 'username': None}
{'pid': 336, 'name': 'SystemSettingsBroker.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 436, 'name': 'msedge.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 744, 'name': 'ShellExperienceHost.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 812, 'name': 'smss.exe', 'username': None}
{'pid': 1152, 'name': 'svchost.exe', 'username': None}
{'pid': 1240, 'name': 'csrss.exe', 'username': None}
{'pid': 1332, 'name': 'wininit.exe', 'username': None}
{'pid': 1400, 'name': 'WidgetService.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 1472, 'name': 'services.exe', 'username': None}
{'pid': 1484, 'name': 'LsaIso.exe', 'username': None}
{'pid': 1512, 'name': 'lsass.exe', 'username': None}
{'pid': 1524, 'name': 'IntelCpHDCPSvc.exe', 'username': None}
{'pid': 1532, 'name': 'svchost.exe', 'username': None}
{'pid': 1636, 'name': 'svchost.exe', 'username': None}
{'pid': 1656, 'name': 'svchost.exe', 'username': None}
{'pid': 1664, 'name': 'fontdrvhost.exe', 'username': None}
{'pid': 1700, 'name': 'WUDFHost.exe', 'username': None}
{'pid': 1808, 'name': 'svchost.exe', 'username': None}
{'pid': 1856, 'name': 'svchost.exe', 'username': None}
{'pid': 1936, 'name': 'svchost.exe', 'username': None}
{'pid': 1944, 'name': 'svchost.exe', 'username': None}
{'pid': 1956, 'name': 'svchost.exe', 'username': None}
{'pid': 2020, 'name': 'svchost.exe', 'username': None}
{'pid': 2076, 'name': 'svchost.exe', 'username': None}
{'pid': 2164, 'name': 'svchost.exe', 'username': None}
{'pid': 2216, 'name': 'MemCompression', 'username': None}
{'pid': 2340, 'name': 'svchost.exe', 'username': None}
{'pid': 2376, 'name': 'svchost.exe', 'username': None}
{'pid': 2508, 'name': 'svchost.exe', 'username': None}
{'pid': 2556, 'name': 'svchost.exe', 'username': None}
{'pid': 2712, 'name': 'svchost.exe', 'username': None}
{'pid': 2788, 'name': 'svchost.exe', 'username': None}
{'pid': 2796, 'name': 'svchost.exe', 'username': None}
{'pid': 2804, 'name': 'svchost.exe', 'username': None}
{'pid': 2812, 'name': 'svchost.exe', 'username': None}
{'pid': 2940, 'name': 'svchost.exe', 'username': None}
{'pid': 2956, 'name': 'svchost.exe', 'username': None}
{'pid': 3068, 'name': 'spoolsv.exe', 'username': None}
{'pid': 3112, 'name': 'svchost.exe', 'username': None}
{'pid': 3140, 'name': 'svchost.exe', 'username': None}
{'pid': 3152, 'name': 'svchost.exe', 'username': None}
{'pid': 3172, 'name': 'StartMenuExperienceHost.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 3200, 'name': 'WebViewHost.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 3336, 'name': 'svchost.exe', 'username': None}
{'pid': 3392, 'name': 'svchost.exe', 'username': None}
{'pid': 3444, 'name': 'svchost.exe', 'username': None}
{'pid': 3492, 'name': 'WUDFHost.exe', 'username': None}
{'pid': 3552, 'name': 'SecurityHealthSystray.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 3576, 'name': 'svchost.exe', 'username': None}
{'pid': 3608, 'name': 'svchost.exe', 'username': None}
{'pid': 3740, 'name': 'svchost.exe', 'username': None}
{'pid': 3776, 'name': 'svchost.exe', 'username': None}
{'pid': 3852, 'name': 'WUDFHost.exe', 'username': None}
{'pid': 3864, 'name': 'svchost.exe', 'username': None}
{'pid': 3928, 'name': 'AsusOptimization.exe', 'username': None}
{'pid': 3936, 'name': 'svchost.exe', 'username': None}
{'pid': 4024, 'name': 'svchost.exe', 'username': None}
{'pid': 4124, 'name': 'svchost.exe', 'username': None}
{'pid': 4212, 'name': 'svchost.exe', 'username': None}
{'pid': 4316, 'name': 'svchost.exe', 'username': None}
{'pid': 4376, 'name': 'wlanext.exe', 'username': None}
{'pid': 4396, 'name': 'conhost.exe', 'username': None}
{'pid': 4536, 'name': 'svchost.exe', 'username': None}
{'pid': 4628, 'name': 'svchost.exe', 'username': None}
{'pid': 4672, 'name': 'AsusAppService.exe', 'username': None}
{'pid': 4692, 'name': 'svchost.exe', 'username': None}
{'pid': 4700, 'name': 'AsusPTPService.exe', 'username': None}
{'pid': 4708, 'name': 'AsusSwitch.exe', 'username': None}
{'pid': 4716, 'name': 'svchost.exe', 'username': None}
{'pid': 4724, 'name': 'DtsApo4Service.exe', 'username': None}
{'pid': 4732, 'name': 'AsusSystemAnalysis.exe', 'username': None}
{'pid': 4740, 'name': 'GlideXServiceExt.exe', 'username': None}
{'pid': 4748, 'name': 'svchost.exe', 'username': None}
{'pid': 4756, 'name': 'jhi_service.exe', 'username': None}
{'pid': 4764, 'name': 'AsusSystemDiagnosis.exe', 'username': None}
{'pid': 4796, 'name': 'OneApp.IGCC.WinService.exe', 'username': None}
{'pid': 4812, 'name': 'IntelAudioService.exe', 'username': None}
{'pid': 4820, 'name': 'AsusScreenXpertHostService.exe', 'username': None}
{'pid': 4832, 'name': 'AsusSoftwareManager.exe', 'username': None}
{'pid': 4840, 'name': 'GlideXService.exe', 'username': None}
{'pid': 4860, 'name': 'OfficeClickToRun.exe', 'username': None}
{'pid': 4868, 'name': 'ipfsvc.exe', 'username': None}
{'pid': 4876, 'name': 'ELANFPService.exe', 'username': None}
{'pid': 4884, 'name': 'svchost.exe', 'username': None}
{'pid': 4892, 'name': 'MpDefenderCoreService.exe', 'username': None}
{'pid': 4896, 'name': 'mfemms.exe', 'username': None}
{'pid': 4920, 'name': 'ModuleCoreService.exe', 'username': None}
{'pid': 4928, 'name': 'McUICnt.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 4932, 'name': 'svchost.exe', 'username': None}
{'pid': 4940, 'name': 'svchost.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 5048, 'name': 'mysqld.exe', 'username': None}
{'pid': 5056, 'name': 'PEFService.exe', 'username': None}
{'pid': 5064, 'name': 'oracle.exe', 'username': None}
{'pid': 5072, 'name': 'RtkAudUService64.exe', 'username': None}
{'pid': 5080, 'name': 'RstMwService.exe', 'username': None}
{'pid': 5092, 'name': 'sqlwriter.exe', 'username': None}
{'pid': 5108, 'name': 'ipf_uf.exe', 'username': None}
{'pid': 5124, 'name': 'svchost.exe', 'username': None}
{'pid': 5176, 'name': 'WMIRegistrationService.exe', 'username': None}
{'pid': 5208, 'name': 'svchost.exe', 'username': None}
{'pid': 5324, 'name': 'MsMpEng.exe', 'username': None}
{'pid': 5496, 'name': 'svchost.exe', 'username': None}
{'pid': 5676, 'name': 'SystemSettings.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 5736, 'name': 'mfevtps.exe', 'username': None}
{'pid': 5776, 'name': 'UserOOBEBroker.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 5796, 'name': 'mysqld.exe', 'username': None}
{'pid': 5856, 'name': 'conhost.exe', 'username': None}
{'pid': 5872, 'name': 'msedgewebview2.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 6044, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 6140, 'name': 'RtkAudUService64.exe', 'username': None}
{'pid': 6184, 'name': 'uihost.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 6404, 'name': 'OneDrive.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 6460, 'name': 'msedgewebview2.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 6488, 'name': 'HxTsr.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 6540, 'name': 'AsusScreenXpertUI.exe', 'username': None}
{'pid': 6768, 'name': 'Widgets.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 6792, 'name': 'csrss.exe', 'username': None}
{'pid': 6808, 'name': 'svchost.exe', 'username': None}
{'pid': 6820, 'name': 'MMSSHOST.exe', 'username': None}
{'pid': 6828, 'name': 'IGCC.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 6932, 'name': 'AsusSoftwareManagerAgent.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 7084, 'name': 'svchost.exe', 'username': None}
{'pid': 7196, 'name': 'WmiPrvSE.exe', 'username': None}
{'pid': 7292, 'name': 'fontdrvhost.exe', 'username': None}
{'pid': 7296, 'name': 'OpenConsole.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 7372, 'name': 'ProtectedModuleHost.exe', 'username': None}
{'pid': 7456, 'name': 'RtkAudUService64.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 7832, 'name': 'McCSPServiceHost.exe', 'username': None}
{'pid': 7952, 'name': 'Code.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 7976, 'name': 'svchost.exe', 'username': None}
{'pid': 8216, 'name': 'msedgewebview2.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 8228, 'name': 'svchost.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 8508, 'name': 'WindowsTerminal.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 8884, 'name': 'AggregatorHost.exe', 'username': None}
{'pid': 8912, 'name': 'svchost.exe', 'username': None}
{'pid': 9092, 'name': 'AsusOSD.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 9160, 'name': 'ModuleCoreService.exe', 'username': None}
{'pid': 9192, 'name': 'conhost.exe', 'username': None}
{'pid': 9460, 'name': 'NisSrv.exe', 'username': None}
{'pid': 9692, 'name': 'svchost.exe', 'username': None}
{'pid': 9796, 'name': 'svchost.exe', 'username': None}
{'pid': 9844, 'name': 'svchost.exe', 'username': None}
{'pid': 9940, 'name': 'SearchIndexer.exe', 'username': None}
{'pid': 10036, 'name': 'svchost.exe', 'username': None}
{'pid': 10096, 'name': 'svchost.exe', 'username': None}
{'pid': 10396, 'name': 'ctfmon.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 10880, 'name': 'sqlceip.exe', 'username': None}
{'pid': 10892, 'name': 'sqlservr.exe', 'username': None}
{'pid': 10928, 'name': 'svchost.exe', 'username': None}
{'pid': 11376, 'name': 'FileCoAuth.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 11452, 'name': 'svchost.exe', 'username': None}
{'pid': 11568, 'name': 'msedge.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 11576, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 11656, 'name': 'ipf_helper.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 11736, 'name': 'msedgewebview2.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 11776, 'name': 'Code.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 11804, 'name': 'svchost.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 11928, 'name': 'svchost.exe', 'username': None}
{'pid': 11960, 'name': 'svchost.exe', 'username': None}
{'pid': 12168, 'name': 'smartscreen.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 12208, 'name': 'svchost.exe', 'username': None}
{'pid': 12452, 'name': 'python.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 12628, 'name': 'dwm.exe', 'username': None}
{'pid': 12744, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 13008, 'name': 'ApplicationFrameHost.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 13124, 'name': 'svchost.exe', 'username': None}
{'pid': 13228, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 13292, 'name': 'CrossDeviceService.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 13380, 'name': 'MfeAVSvc.exe', 'username': None}
{'pid': 13420, 'name': 'svchost.exe', 'username': None}
{'pid': 13480, 'name': 'conhost.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 13624, 'name': 'msedgewebview2.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 13656, 'name': 'Code.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 13688, 'name': 'SearchHost.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 13740, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 13884, 'name': 'ONENOTEM.EXE', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 13892, 'name': 'conhost.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 13952, 'name': 'mcapexe.exe', 'username': None}
{'pid': 14112, 'name': 'msedge.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 14192, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 14376, 'name': 'mcshield.exe', 'username': None}
{'pid': 14588, 'name': 'SecurityHealthService.exe', 'username': None}
{'pid': 14736, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 15052, 'name': 'svchost.exe', 'username': None}
{'pid': 15288, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 15844, 'name': 'cmd.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 16392, 'name': 'Code.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 16408, 'name': 'svchost.exe', 'username': None}
{'pid': 16548, 'name': 'svchost.exe', 'username': None}
{'pid': 16552, 'name': 'Code.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
